NUMERO;CONTEUDO
275;O auxiliar de farmácia não pode ser responsável técnico por farmácia ou drogaria.
276;“CANCELADA”
277;Julgada procedente a investigação de paternidade, os alimentos são devidos a partir da citação.
278;O termo inicial do prazo prescricional, na ação de indenização, é a data em que o segurado teve ciência inequívoca da incapacidade laboral.
279;É cabível execução por título extrajudicial contra a Fazenda Pública.
280;O art. 35 do Decreto-Lei n° 7.661, de 1945, que estabelece a prisão administrativa, foi revogado pelos incisos LXI e LXVII do art. 5° da Constituição Federal de 1988.
281;A indenização por dano moral não está sujeita à tarifação prevista na Lei de Imprensa.
282;Cabe citação por edital em ação monitória.
283;As empresas administradoras de cartão de crédito são instituições financeiras e, por isso, os juros remuneratórios por elas cobrados não sofrem as limitações da Lei de Usura.
284;A purga da mora, nos contratos de alienação fiduciária, só é permitida quando já pagos pelo menos 40% (quarenta por cento) do valor financiado.
285;Nos contratos bancários posteriores ao Código de Defesa do Consumidor incide a multa moratória nele prevista.
286;A renegociação de contrato bancário ou a confissão da dívida não impede a possibilidade de discussão sobre eventuais ilegalidades dos contratos anteriores.
287;A Taxa Básica Financeira (TBF) não pode ser utilizada como indexador de correção monetária nos contratos bancários.
288;A Taxa de Juros de Longo Prazo (TJLP) pode ser utilizada como indexador de correção monetária nos contratos bancários.
289;A restituição das parcelas pagas a plano de previdência privada deve ser objeto de correção plena, por índice que recomponha a efetiva desvalorização da moeda.
290;Nos planos de previdência privada, não cabe ao beneficiário a devolução da contribuição efetuada pelo patrocinador.
291;A ação de cobrança de parcelas de complementação de aposentadoria pela previdência privada prescreve em cinco anos.
292;A reconvenção é cabível na ação monitória, após a conversão do procedimento em ordinário.
293;A cobrança antecipada do valor residual garantido (VRG) não descaracteriza o contrato de arrendamento mercantil.
294;Não é potestativa a cláusula contratual que prevê a comissão de permanência, calculada pela taxa média de mercado apurada pelo Banco Central do Brasil, limitada à taxa do contrato.
295;A Taxa Referencial (TR) é indexador válido para contratos posteriores à Lei n. 8.177/91, desde que pactuada.
296;Os juros remuneratórios, não cumuláveis com a comissão de permanência, são devidos no período de inadimplência, à taxa média de mercado estipulada pelo Banco Central do Brasil, limitada ao percentual contratado.
297;O Código de Defesa do Consumidor é aplicável às instituições financeiras.
298;O alongamento de dívida originada de crédito rural não constitui faculdade da instituição financeira, mas, direito do devedor nos termos da lei.
299;É admissível a ação monitória fundada em cheque prescrito.
300;O instrumento de confissão de dívida, ainda que originário de contrato de abertura de crédito, constitui título executivo extrajudicial.
301;Em ação investigatória, a recusa do suposto pai a submeter-se ao exame de DNA induz presunção juris tantum de paternidade.
302;É abusiva a cláusula contratual de plano de saúde que limita no tempo a internação hospitalar do segurado.
303;Em embargos de terceiro, quem deu causa à constrição indevida deve arcar com os honorários advocatícios.
304;É ilegal a decretação da prisão civil daquele que não assume expressamente o encargo de depositário judicial.
305;É descabida a prisão civil do depositário quando, decretada a falência da empresa, sobrevém a arrecadação do bem pelo síndico.
306;Os honorários advocatícios devem ser compensados quando houver sucumbência recíproca, assegurado o direito autônomo do advogado à execução do saldo sem excluir a legitimidade da própria parte.
307;A restituição de adiantamento de contrato de câmbio, na falência, deve ser atendida antes de qualquer crédito.
308;A hipoteca firmada entre a construtora e o agente financeiro, anterior ou posterior à celebração da promessa de compra e venda, não tem eficácia perante os adquirentes do imóvel.
309;O débito alimentar que autoriza a prisão civil do alimentante é o que compreende as três prestações anteriores ao ajuizamento da execução e as que se vencerem no curso do processo.
310;O Auxílio-creche não integra o salário-de-contribuição.
311;Os atos do presidente do tribunal que disponham sobre processamento e pagamento de precatório não tem caráter jurisdicional.
312;No processo administrativo para imposição de multa de trânsito, são necessárias as notificações da autuação e da aplicação da pena decorrente da infração.
313;Em ação de indenização, procedente o pedido, é necessária a constituição de capital ou caução fidejussória para a garantia de pagamento da pensão, independentemente da situação financeira do demandado.
314;Em execução fiscal, não localizados bens penhoráveis, suspende-se o processo por um ano, findo o qual se inicia o prazo da prescrição quinquenal intercorrente.
314;Em execução fiscal, não localizados bens penhoráveis, suspende-se o processo por um ano, findo o qual se inicia o prazo da prescrição quinquenal intercorrente.
315;Não cabem embargos de divergência no âmbito do agravo de instrumento que não admite recurso especial.
316;Cabem embargos de divergência contra acórdão que, em agravo regimental, decide recurso especial.
317;É definitiva a execução de título extrajudicial, ainda que pendente apelação contra sentença que julgue improcedentes os embargos.
318;Formulado pedido certo e determinado, somente o autor tem interesse recursal em arguir o vício da sentença ilíquida.
319;O encargo de depositário de bens penhorados pode ser expressamente recusado.
320;A questão federal somente ventilada no voto vencido não atende ao requisito do prequestionamento.
321;“CANCELADA”
322;Para a repetição de indébito, nos contratos de abertura de crédito em conta-corrente, não se exige a prova do erro.
323;A inscrição do nome do devedor pode ser mantida nos serviços de proteção ao crédito até o prazo máximo de cinco anos, independentemente da prescrição da execução.
324;Compete à Justiça Federal processar e julgar ações de que participa a Fundação Habitacional do Exército, equiparada à entidade autárquica federal, supervisionada pelo Ministério do Exército.
325;A remessa oficial devolve devolve ao Tribunal o reexame de todas as parcelas da condenação suportadas pela Fazenda Pública, inclusive dos honorários de advogado.
326;Na ação de indenização por dano moral, a condenação em montante inferior ao postulado na inicial não implica sucumbência recíproca.
327;Nas ações referentes ao Sistema Financeiro da Habitação, a Caixa Econômica Federal tem legitimidade como sucessora do Banco Nacional da Habitação.
328;Na execução contra instituição financeira, é penhorável o numerário disponível, excluídas as reservas bancárias mantidas no Banco Central.
329;O Ministério Público tem legitimidade para propor ação civil pública em defesa do patrimônio público.
330;É desnecessária a resposta preliminar de que trata o artigo 514 do Código de Processo Penal, na ação penal instruída por inquérito policial.
331;A apelação interposta contra sentença que julga embargos à arrematação tem efeito meramente devolutivo.
332;A fiança prestada sem autorização de um dos cônjuges implica a ineficácia total da garantia.
333;Cabe mandado de segurança contra ato praticado em licitação promovida por sociedade de economia mista ou empresa pública.
334;O ICMS não incide no serviço dos provedores de acesso à Internet.
335;Nos contratos de locação, é válida a cláusula de renúncia à indenização das benfeitorias e ao direito de retenção.
336;A mulher que renunciou aos alimentos na separação judicial tem direito à pensão previdenciária por morte do ex-marido, comprovada a necessidade econômica superveniente.
337;É cabível a suspensão condicional do processo na desclassificação do crime e na procedência parcial da pretensão punitiva.
338;A prescrição penal é aplicável nas medidas sócio-educativas.
339;É cabível ação monitória contra a Fazenda Pública.
340;A lei aplicável à concessão de pensão previdenciária por morte é aquela vigente na data do óbito do segurado.
341;A freqüência a curso de ensino formal é causa de remição de parte do tempo de execução de pena sob regime fechado ou semi-aberto.
342;No procedimento para aplicação de medida sócio-educativa, é nula a desistência de outras provas em face da confissão do adolescente.
343;É obrigatória a presença de advogado em todas as fases do processo administrativo disciplinar.
344;A liquidação por forma diversa da estabelecida na sentença não ofende a coisa julgada.
345;São devidos honorários advocatícios pela Fazenda Pública nas execuções individuais de sentença proferida em ações coletivas, ainda que não embargadas.
345;São devidos honorários advocatícios pela Fazenda Pública nas execuções individuais de sentença proferida em ações coletivas, ainda que não embargadas.
346;É vedada aos militares temporários, para aquisição de estabilidade, a contagem em dobro de férias e licenças não-gozadas.
347;O conhecimento de recurso de apelação do réu independe de sua prisão.
348;“CANCELADA”
349;Compete à Justiça Federal ou aos juízes com competência delegada o julgamento das execuções fiscais de contribuições devidas pelo empregador ao FGTS.
349;Compete à Justiça Federal ou aos juízes com competência delegada o julgamento das execuções fiscais de contribuições devidas pelo empregador ao FGTS.
350;O ICMS não incide sobre o serviço de habilitação de telefone celular.
351;A alíquota de contribuição para o Seguro de Acidente do Trabalho (SAT) é aferida pelo grau de risco desenvolvido em cada empresa, individualizada pelo seu CNPJ, ou pelo grau de risco da atividade preponderante quando houver apenas um registro.
352;A obtenção ou a renovação do Certificado de Entidade Beneficente de Assistência Social (Cebas) não exime a entidade do cumprimento dos requisitos legais supervenientes.
353;As disposições do Código Tributário Nacional não se aplicam às contribuições para o FGTS.
354;A invasão do imóvel é causa de suspensão do processo expropriatório para fins de reforma agrária.
355;É válida a notificação do ato de exclusão do programa de recuperação fiscal do REFIS pelo Diário Oficial ou pela Internet.
356;É legítima a cobrança da tarifa básica pelo uso dos serviços de telefonia fixa.
357;A pedido do assinante, que responderá pelos custos, é obrigatória, a partir de 1o de janeiro de 2006, a discriminação de pulsos excedentes e ligações de telefone fixo para celular.
358;O cancelamento de pensão alimentícia de filho que atingiu a maioridade está sujeito à decisão judicial, mediante contraditório, ainda que nos próprios autos.
359;Cabe ao órgão mantenedor do Cadastro de Proteção ao Crédito a notificação do devedor antes de proceder à inscrição.
360;O benefício da denúncia espontânea não se aplica aos tributos sujeitos a lançamento por homologação regularmente declarados, mas pagos a destempo.
361;A notificação do protesto, para requerimento de falência da empresa devedora, exige a identificação da pessoa que a recebeu.
362;A correção monetária do valor da indenização do dano moral incide desde a data do arbitramento.
363;Compete à Justiça estadual processar e julgar a ação de cobrança ajuizada por profissional liberal contra cliente.
364;O conceito de impenhorabilidade de bem de família abrange também o imóvel pertencente a pessoas solteiras, separadas e viúvas.
365;A intervenção da União como sucessora da Rede Ferroviária Federal S/A (RFFSA) desloca a competência para a Justiça Federal ainda que a sentença tenha sido proferida por Juízo estadual.
366;“CANCELADA”
367;A competência estabelecida pela EC n. 45/2004 não alcança os processos já sentenciados.
368;Compete à justiça estadual processar e julgar os pedidos de retificação de dados cadastrais da Justiça Eleitoral.
369;No contrato de arrendamento mercantil (leasing), ainda que haja cláusula resolutiva expressa, é necessária a notificação prévia do arrendatário para constituí-lo em mora.
370;Caracteriza dano moral a apresentação antecipada de cheque pré-datado.
371;Nos contratos de participação financeira para a aquisição de linha telefônica, o Valor Patrimonial da Ação (VPA) é apurado com base no balancete do mês da integralização.
372;Na ação de exibição de documentos, não cabe a aplicação de multa cominatória.
373;É ilegítima a exigência de depósito prévio para admissibilidade de recurso administrativo.
374;Compete à Justiça Eleitoral processar e julgar a ação para anular débito decorrente de multa eleitoral.
375;O reconhecimento da fraude à execução depende do registro da penhora do bem alienado ou da prova de má-fé do terceiro adquirente.
376;Compete à turma recursal processar e julgar mandado de segurança contra ato de juizado especial.
377;O portador de visão monocular tem direito de concorrer, em concurso público, às vagas reservadas aos deficientes.
378;Reconhecido o desvio de função, o servidor faz jus às diferenças salariais decorrentes.
379;Nos contratos bancários não regidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês.
380;A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.
381;Nos contratos bancários, é vedado ao julgador conhecer, de ofício, da abusividade das cláusulas.
382;A estipulação de juros remuneratórios superiores a 12% ao ano, por si só, não indica abusividade.
383;A competência para processar e julgar as ações conexas de interesse de menor é, em princípio, do foro do domicílio do detentor de sua guarda.
384;Cabe ação monitória para haver saldo remanescente oriundo de venda extrajudicial de bem alienado fiduciariamente em garantia.
385;Da anotação irregular em cadastro de proteção ao crédito, não cabe indenização por dano moral, quando preexistente legítima inscrição, ressalvado o direito ao cancelamento.
386;São isentas de imposto de renda as indenizações de férias proporcionais e o respectivo adicional.
387;É lícita a cumulação das indenizações de dano estético e dano moral.
388;A simples devolução indevida de cheque caracteriza dano moral.
389;A comprovação do pagamento do “custo do serviço” referente ao fornecimento de certidão de assentamento constantes dos livros da companhia é requisito de procedibilidade da ação de exibição de documentos ajuizada em face da sociedade anônima.
390;Nas decisões por maioria, em reexame necessário, não se admitem embargos infringentes.
391;O ICMS incide sobre o valor da tarifa de energia elétrica correspondente à demanda de potência efetivamente utilizada.
392;A Fazenda Pública pode substituir a certidão de dívida ativa (CDA) até a prolação da sentença de embargos, quando se tratar de correção de erro material ou formal, vedada a modificação do sujeito passivo da execução.
392;A Fazenda Pública pode substituir a certidão de dívida ativa (CDA) até a prolação da sentença de embargos, quando se tratar de correção de erro material ou formal, vedada a modificação do sujeito passivo da execução.
393;A exceção de pré-executividade é admissível na execução fiscal relativamente às matérias conhecíveis de ofício que não demandem dilação probatória.
393;A exceção de pré-executividade é admissível na execução fiscal relativamente às matérias conhecíveis de ofício que não demandem dilação probatória.
394;É admissível, em embargos à execução, compensar os valores de imposto de renda retidos indevidamente na fonte com os valores restituídos apurados na declaração anual.
394;É admissível, em embargos à execução, compensar os valores de imposto de renda retidos indevidamente na fonte com os valores restituídos apurados na declaração anual.
395;O ICMS incide sobre o valor da venda a prazo constante da nota fiscal.
396;A Confederação Nacional da Agricultura tem legitimidade ativa para a cobrança da contribuição sindical rural.
397;O contribuinte do IPTU é notificado do lançamento pelo envio do carnê ao seu endereço.
398;A prescrição da ação para pleitear os juros progressivos sobre os saldos de conta vinculada do FGTS não atinge o fundo de direito, limitando-se às parcelas vencidas.
399;Cabe à legislação municipal estabelecer o sujeito passivo do IPTU.
400;O encargo de 20% previsto no DL n. 1.025/1969 é exigível na execução fiscal proposta contra a massa falida.
400;O encargo de 20% previsto no DL n. 1.025/1969 é exigível na execução fiscal proposta contra a massa falida.
401;O prazo decadencial da ação rescisória só se inicia quando não for cabível qualquer recurso do último pronunciamento judicial.
402;O contrato de seguro por danos pessoais compreende os danos morais, salvo cláusula expressa de exclusão.
403;Independe de prova do prejuízo a indenização pela publicação não autorizada de imagem de pessoa com fins econômicos ou comerciais.
404;É dispensável o aviso de recebimento (AR) na carta de comunicação ao consumidor sobre a negativação de seu nome em bancos de dados e cadastros.
405;A ação de cobrança do seguro obrigatório (DPVAT) prescreve em três anos.
406;A Fazenda Pública pode recusar a substituição do bem penhorado por precatório.
406;A Fazenda Pública pode recusar a substituição do bem penhorado por precatório.
407;É legítima a cobrança da tarifa de água fixada de acordo com as categorias de usuários e as faixas de consumo.
408;“CANCELADA”
409;Em execução fiscal, a prescrição pode ser decretada de ofício (art. 219, §5º do CPC).
409;Em execução fiscal, a prescrição pode ser decretada de ofício (art. 219, §5º do CPC).
410;A prévia intimação pessoal do devedor constitui condição necessária para a cobrança de multa pelo descumprimento de obrigação de fazer ou não fazer.
411;É devida a correção monetária ao creditamento do IPI quando há oposição ao seu aproveitamento decorrente de resistência ilegítima do Fisco.
412;A ação de repetição de indébito de tarifas de água e esgoto sujeita-se ao prazo prescricional estabelecido no Código Civil.
413;O farmacêutico pode acumular a responsabilidade técnica por uma farmácia e uma drogaria ou por duas drogarias.
414;A citação por edital na execução fiscal é cabível quando frustadas as demais modalidades.
414;A citação por edital na execução fiscal é cabível quando frustadas as demais modalidades.
415;O período de suspensão do prazo prescricional é regulado pelo máximo da pena cominada.
416;É devida a pensão por morte aos dependentes do segurado que, apesar de ter perdido essa qualidade, preencheu os requisitos legais para a obtenção de aposentadoria até a data do seu óbito.
417;Na execução civil, a penhora de dinheiro na ordem de nomeação de bens não tem caráter absoluto.
418;“CANCELADA”
419;Descabe a prisão civil do depositário judicial infiel.
420;Incabível, em embargos de divergência, discutir o valor de indenização por danos morais.
421;Os honorários advocatícios não são devidos à Defensoria Pública quando ela atua contra a pessoa jurídica de direito público à qual pertença.
422;O art. 6o, e, da Lei n. 4.380/1964 não estabelece limitação aos juros remuneratórios nos contratos vinculados ao SFH.
423;A Contribuição para Financiamento da Seguridade Social - Cofins incide sobre as receitas provenientes das operações de locação de bens móveis.
424;É legítima a incidência de ISS sobre os serviços bancários congêneres da lista anexa ao DL n. 406/1968 e à LC n. 56/1987.
425;A retenção da contribuição para a seguridade social pelo tomador do serviço não se aplica às empresas optantes pelo Simples.
426;Os juros de mora na indenização do seguro DPVAT fluem a partir da citação.
427;A ação de cobrança de diferenças de valores de complementação de aposentadoria prescreve em cinco anos contados da data do pagamento.
428;Compete ao Tribunal Regional Federal decidir os conflitos de competência entre juizado especial federal e juízo federal da mesma seção judiciária.
429;A citação postal, quando autorizada por lei, exige o aviso de recebimento.
430;O inadimplemento da obrigação tributária pela sociedade não gera, por si só, a responsabilidade solidária do sócio-gerente.
430;O inadimplemento da obrigação tributária pela sociedade não gera, por si só, a responsabilidade solidária do sócio-gerente.
431;É ilegal a cobrança de ICMS com base no valor da mercadoria submetido ao regime de pauta fiscal.
432;As empresas de construção civil não estão obrigadas a pagar ICMS sobre mercadorias adquiridas como insumos em operações interestaduais.
433;O produto semi-elaborado, para fins de incidência de ICMS, é aquele que preenche cumulativamente os três requisitos do art. 1o da Lei Complementar n. 65/1991.
434;O pagamento da multa por infração de trânsito não inibe a discussão judicial do débito.
435;Presume-se dissolvida irregularmente a empresa que deixar de funcionar no seu domicílio fiscal, sem comunicação aos órgãos competentes, legitimando o redirecionamento da execução fiscal para o sócio-gerente.
435;Presume-se dissolvida irregularmente a empresa que deixar de funcionar no seu domicílio fiscal, sem comunicação aos órgãos competentes, legitimando o redirecionamento da execução fiscal para o sócio-gerente.
436;A entrega de declaração pelo contribuinte reconhecendo débito fiscal constitui o crédito tributário, dispensada qualquer outra providência por parte do fisco.
437;A suspensão da exigibilidade do crédito tributário superior a quinhentos mil reais para opção pelo Refis pressupõe a homologação expressa do comitê gestor e a constituição de garantia por meio do arrolamento de bens.
438;É inadmissível a extinção da punibilidade pela prescrição da pretensão punitiva com fundamento em pena hipotética, independentemente da existência ou sorte do processo penal.
439;Admite-se o exame criminológico pelas peculiaridades do caso, desde que em decisão motivada.
440;Fixada a pena-base no mínimo legal, é vedado o estabelecimento de regime prisional mais gravoso do que o cabível em razão da sanção imposta, com base apenas na gravidade abstrata do delito.
441;A falta grave não interrompe o prazo para obtenção de livramento condicional.
442;É inadmissível aplicar, no furto qualificado, pelo concurso de agentes, a majorante do roubo.
443;O aumento na terceira fase de aplicação da pena no crime de roubo circunstanciado exige fundamentação concreta, não sendo suficiente para a sua exasperação a mera indicação do número de majorantes.
444;É vedada a utilização de inquéritos policiais e ações penais em curso para agravar a pena-base.
445;As diferenças de correção monetária resultantes de expurgos inflacionários sobre os saldos de FGTS têm como termo inicial a data em que deveriam ter sido creditadas.
446;Declarado e não pago o débito tributário pelo contribuinte, é legítima a recusa de expedição de certidão negativa ou positiva com efeito de negativa.
447;Os Estados e o Distrito Federal são partes legítimas na ação de restituição de imposto de renda retido na fonte proposta por seus servidores.
448;A opção pelo Simples de estabelecimentos dedicados às atividades de creche, pré-escola e ensino fundamental é admitida somente a partir de 24/10/2000, data de vigência da Lei n. 10.034/2000.
449;A vaga de garagem que possui matrícula própria no registro de imóveis não constitui bem de família para efeito de penhora.
450;Nos contratos vinculados ao SFH, a atualização do saldo devedor antecede sua amortização pelo pagamento da prestação.
451;É legítima a penhora da sede do estabelecimento comercial.
452;A extinção das ações de pequeno valor é faculdade da Administração, vedada a atuação judicial de ofício.
452;A extinção das ações de pequeno valor é faculdade da Administração, vedada a atuação judicial de ofício.
453;Os honorários sucumbenciais, quando omitidos em decisão transitada em julgado, não podem ser cobrados em execução ou em ação própria.
454;Pactuada a correção monetária nos contratos do SFH pelo mesmo índice aplicável à caderneta de poupança, incide a taxa referencial (TR) a partir da vigência da Lei n. 8.177/1991.
455;A decisão que determina a produção antecipada de provas com base no art. 366 do CPP deve ser concretamente fundamentada, não a justificando unicamente o mero decurso do tempo.
456;É incabível a correção monetária dos salários de contribuição considerados no cálculo do salário de benefício de auxílio- doença, aposentadoria por invalidez, pensão ou auxílio-reclusão concedidos antes da vigência da CF/1988.
457;Os descontos incondicionais nas operações mercantis não se incluem na base de cálculo do ICMS.
458;A contribuição previdenciária incide sobre a comissão paga ao corretor de seguros.
459;A Taxa Referencial (TR) é o índice aplicável, a título de correção monetária, aos débitos com o FGTS recolhidos pelo empregador mas não repassados ao fundo.
460;É incabível mandado de segurança para convalidar a compensação tributária realizada pelo contribuinte.
460;É incabível mandado de segurança para convalidar a compensação tributária realizada pelo contribuinte.
461;O contribuinte pode optar por receber, por meio de precatório ou por compensação, o indébito tributário certificado por sentença declaratória transitada em julgado.
462;Nas ações em que representa o FGTS, a CEF, quando sucumbente, não está isenta de reembolsar as custas antecipadas pela parte vencedora.
463;Incide imposto de renda sobre os valores percebidos a título de indenização por horas extraordinárias trabalhadas, ainda que decorrentes de acordo coletivo.
464;A regra de imputação de pagamentos estabelecida no art. 354 do Código Civil não se aplica às hipóteses de compensação tributária.
465;Ressalvada a hipótese de efetivo agravamento do risco, a seguradora não se exime do dever de indenizar em razão da transferência do veículo sem a sua prévia comunicação.
466;O titular da conta vinculada ao FGTS tem o direito de sacar o saldo respectivo quando declarado nulo seu contrato de trabalho por ausência de prévia aprovação em concurso público.
467;Prescreve em cinco anos, contados do término do processo administrativo, a pretensão da Administração Pública de promover a execução da multa por infração ambiental.
468;A base de cálculo do PIS, até a edição da MP n. 1.212/1995, era o faturamento ocorrido no sexto mês anterior ao do fato gerador.
469;“CANCELADA”
470;O Ministério Público não tem legitimidade para pleitear, em ação civil pública, a indenização decorrente do DPVAT em benefício do segurado.
471;Os condenados por crimes hediondos ou assemelhados cometidos antes da vigência da Lei n. 11.464/2007 sujeitam-se ao disposto no art. 112 da Lei n. 7.210/1984 (Lei de Execução Penal) para a progressão de regime prisional.
472;A cobrança de comissão de permanência - cujo valor não pode ultrapassar a soma dos encargos remuneratórios e moratórios previstos no contrato - exclui a exigibilidade dos juros remuneratórios, moratórios e da multa contratual.
473;O mutuário do SFH não pode ser compelido a contratar o seguro habitacional obrigatório com a instituição financeira mutuante ou com a seguradora por ela indicada.
474;A indenização do seguro DPVAT, em caso de invalidez parcial do beneficiário, será paga de forma proporcional ao grau da invalidez.
475;Responde pelos danos decorrentes de protesto indevido o endossatário que recebe por endosso translativo título de crédito contendo vício formal extrínseco ou intrínseco, ficando ressalvado seu direito de regresso contra os endossantes e avalistas.
476;O endossatário de título de crédito por endosso-mandato só responde por danos decorrentes de protesto indevido se extrapolar os poderes de mandatário.
477;A decadência do art. 26 do CDC não é aplicável à prestação de contas para obter esclarecimentos sobre cobrança de taxas, tarifas e encargos bancários.
478;Na execução de crédito relativo a cotas condominiais, este tem preferência sobre o hipotecário.
479;As instituições financeiras respondem objetivamente pelos danos gerados por fortuito interno relativo a fraudes e delitos praticados por terceiros no âmbito de operações bancárias.
480;O juízo da recuperação judicial não é competente para decidir sobre a constrição de bens não abrangidos pelo plano de recuperação da empresa.
481;Faz jus ao benefício da justiça gratuita a pessoa jurídica com ou sem fins lucrativos que demonstrar sua impossibilidade de arcar com os encargos processuais.
482;A falta de ajuizamento da ação principal no prazo do art. 806 do CPC de 1973 acarreta a perda da eficácia da liminar deferida e a extinção do processo cautelar.
483;O INSS não está obrigado a efetuar depósito prévio do preparo por gozar das prerrogativas e privilégios da Fazenda Pública.
484;Admite-se que o preparo seja efetuado no primeiro dia útil subsequente, quando a interposição do recurso ocorrer após o encerramento do expediente bancário.
485;A Lei de Arbitragem aplica-se aos contratos que contenham cláusula arbitral, ainda que celebrados antes da sua edição.
486;É impenhorável o único imóvel residencial do devedor que esteja locado a terceiros, desde que a renda obtida com a locação seja revertida para a subsistência ou a moradia da sua família.
487;O parágrafo único do art. 741 do CPC não se aplica às sentenças transitadas em julgado em data anterior à da sua vigência.
488;O §2º do art. 6º da Lei n. 9.469/1997, que obriga à repartição dos honorários advocatícios, é inaplicável a acordos ou transações celebrados em data anterior à sua vigência.
489;Reconhecida a continência, devem ser reunidas na Justiça Federal as ações civis públicas propostas nesta e na Justiça estadual.
489;Reconhecida a continência, devem ser reunidas na Justiça Federal as ações civis públicas propostas nesta e na Justiça estadual.
490;A dispensa de reexame necessário, quando o valor da condenação ou do direito controvertido for inferior a 60 salários mínimos, não se aplica a sentenças ilíquidas.
491;É inadmissível a chamada progressão per saltum de regime prisional.
492;O ato infracional análogo ao tráfico de drogas, por si só, não conduz obrigatoriamente à imposição de medida socioeducativa de internação do adolescente.
493;É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.
494;O benefício fiscal do ressarcimento do crédito presumido do IPI relativo às exportações incide mesmo quando as matérias- primas ou os insumos sejam adquiridos de pessoa física ou jurídica não contribuinte do PIS/PASEP.
495;A aquisição de bens integrantes do ativo permanente da empresa não gera direito a creditamento de IPI.
496;Os registros de propriedade particular de imóveis situados em terrenos de marinha não são oponíveis à União.
497;Os créditos das autarquias federais preferem aos créditos da Fazenda estadual desde que coexistam penhoras sobre o mesmo bem.
497;Os créditos das autarquias federais preferem aos créditos da Fazenda estadual desde que coexistam penhoras sobre o mesmo bem.
498;Não incide imposto de renda sobre a indenização por danos morais.
499;As empresas prestadoras de serviços estão sujeitas às contribuições ao Sesc e Senac, salvo se integradas noutro serviço social.
500;A configuração do crime do art. 244-B do ECA independe da prova da efetiva corrupção do menor, por se tratar de delito formal.
501;É cabível a aplicação retroativa da Lei n. 11.343/2006, desde que o resultado da incidência das suas disposições, na íntegra, seja mais favorável ao réu do que o advindo da aplicação da Lei n. 6.368/1976, sendo vedada a combinação de leis.
502;Presentes a materialidade e a autoria, afigura-se típica, em relação ao crime previsto no art. 184, § 2o, do CP, a conduta de expor à venda CDs e DVDs piratas.
503;O prazo para ajuizamento de ação monitória em face do emitente de cheque sem força executiva é quinquenal , a contar do dia seguinte à data de emissão estampada na cártula.
503;O prazo para ajuizamento de ação monitória em face do emitente de cheque sem força executiva é quinquenal , a contar do dia seguinte à data de emissão estampada na cártula.
504;O prazo para ajuizamento de ação monitória em face do emitente de nota promissória sem força executiva é quinquenal, a contar do dia seguinte ao vencimento do título.
504;O prazo para ajuizamento de ação monitória em face do emitente de nota promissória sem força executiva é quinquenal, a contar do dia seguinte ao vencimento do título.
505;A competência para processar e julgar as demandas têm por objeto obrigações decorrentes dos contratos de planos de previdência privada firmados com a Fundação Rede Ferroviária de Seguridade Social – REFER é da Justiça estadual.
506;A Anatel não é parte legítima nas demandas entre a concessionária e o usuário de telefonia decorrentes de relação contratual.
507;A acumulação de auxílio-acidente com aposentadoria pressupõe que a lesão incapacitante e a aposentadoria sejam anteriores a 11/11/1997, observado o critério do art. 23 da Lei n. 8.213/1991 para definição do momento da lesão nos casos de doença profissional ou do trabalho.
508;A isenção da Cofins concedida pelo art. 6o, II, da LC n. 70/1991 às sociedades civis de prestação de serviços profissionais foi revogada pelo art. 56 da Lei n. 9.430/1996.
509;É lícito ao comerciante de boa-fé aproveitar os créditos de ICMS decorrentes de nota fiscal posteriormente declarada inidônea, quando demonstrada a veracidade da compra e venda.
510;A liberação de veículo retido apenas por transporte irregular de passageiros não está condicionada ao pagamento de multas e despesas.
511;É possível o reconhecimento do privilégio previsto no § 2o do art. 155 do CP nos casos de crime de furto qualificado, se estiverem presentes a primariedade do agente, o pequeno valor da coisa e a qualificadora for de ordem objetiva.
512;“CANCELADA”
513;A 'abolitio criminis' temporária prevista na Lei n. 10.826/2003 aplica-se ao crime de posse de arma de fogo de uso permitido com numeração, marca ou qualquer outro sinal de identificação raspado, suprimido ou adulterado, praticado somente até 23/10/2005.
514;A CEF é responsável pelo fornecimento dos extratos das contas individualizadas vinculadas ao FGTS dos Trabalhadores participantes do Fundo de Garantia do Tempo de Serviço, inclusive para fins de exibição em juízo, independentemente do período em discussão.
515;A reunião de execuções fiscais contra o mesmo devedor constitui faculdade do juiz.
515;A reunião de execuções fiscais contra o mesmo devedor constitui faculdade do juiz.
516;A contribuição de intervenção no domínio econômico para o Incra (Decreto-Lei n. 1.110/1970), devida por empregadores rurais e urbanos, não foi extinta pelas Leis ns. 7.787/1989, 8.212/1991 e 8.213/1991, não podendo ser compensada com a contribuição ao INSS.
517;São devidos honorários advocatícios no cumprimento de sentença, haja ou não impugnação, depois de escoado o prazo para pagamento voluntário, que se inicia após a intimação do advogado da parte executada.
518;Para fins do art. 105, III, a, da Constituição Federal, não é cabível recurso especial fundado em alegada violação de enunciado de súmula.
519;Na hipótese de rejeição da impugnação ao cumprimento de sentença, não são cabíveis honorários advocatícios.
520;O benefício de saída temporária no âmbito da execução penal é ato jurisdicional insuscetível de delegação à autoridade administrativa do estabelecimento prisional.
